Date,BTC-USD,TSLA
2025-04-15,83668.9921875,254.11000061035156
2025-04-16,84033.8671875,241.5500030517578
2025-04-17,84895.75,241.3699951171875
2025-04-18,84450.8046875,
2025-04-19,85063.4140625,
2025-04-20,85174.3046875,
2025-04-21,87518.90625,227.5
2025-04-22,93441.890625,237.97000122070312
2025-04-23,93699.109375,250.74000549316406
2025-04-24,93943.796875,259.510009765625
2025-04-25,94720.5,284.95001220703125
2025-04-26,94646.9296875,
2025-04-27,93754.84375,
2025-04-28,94978.75,285.8800048828125
2025-04-29,94284.7890625,292.0299987792969
2025-04-30,94207.3125,282.1600036621094
2025-05-01,96492.3359375,280.5199890136719
2025-05-02,96910.0703125,287.2099914550781
2025-05-03,95891.796875,
2025-05-04,94315.9765625,
2025-05-05,94748.0546875,280.260009765625
2025-05-06,96802.4765625,275.3500061035156
2025-05-07,97032.3203125,276.2200012207031
2025-05-08,103241.4609375,284.82000732421875
2025-05-09,102970.8515625,298.260009765625
2025-05-10,104696.328125,
2025-05-11,104106.359375,
2025-05-12,102812.953125,318.3800048828125
2025-05-13,104169.8125,334.07000732421875
2025-05-14,103539.4140625,347.67999267578125
2025-05-15,103744.640625,342.82000732421875
2025-05-16,103489.2890625,349.9800109863281
2025-05-17,103191.0859375,
2025-05-18,106446.0078125,
2025-05-19,105606.1796875,342.0899963378906
2025-05-20,106791.0859375,343.82000732421875
2025-05-21,109678.078125,334.6199951171875
2025-05-22,111673.28125,341.0400085449219
2025-05-23,107287.796875,339.3399963378906
2025-05-24,107791.15625,
2025-05-25,109035.390625,
2025-05-26,109440.3671875,
2025-05-27,108994.640625,362.8900146484375
2025-05-28,107802.328125,356.8999938964844
2025-05-29,105641.7578125,358.42999267578125
2025-05-30,103998.5703125,346.4599914550781
2025-05-31,104638.09375,
2025-06-01,105652.1015625,
2025-06-02,105881.53125,342.69000244140625
2025-06-03,105432.46875,344.2699890136719
2025-06-04,104731.984375,332.04998779296875
2025-06-05,101575.953125,284.70001220703125
2025-06-06,104390.34375,295.1400146484375
2025-06-07,105615.625,
2025-06-08,105793.6484375,
2025-06-09,110294.1015625,308.5799865722656
2025-06-10,110257.234375,326.0899963378906
2025-06-11,108686.625,326.42999267578125
2025-06-12,105929.0546875,319.1099853515625
2025-06-13,106090.96875,325.30999755859375
2025-06-14,105472.40625,
2025-06-15,105552.0234375,
2025-06-16,106796.7578125,329.1300048828125
2025-06-17,104601.1171875,316.3500061035156
2025-06-18,104883.328125,322.04998779296875
2025-06-19,104684.2890625,
2025-06-20,103309.6015625,322.1600036621094
2025-06-21,102257.40625,
2025-06-22,100987.140625,
2025-06-23,105577.7734375,348.67999267578125
2025-06-24,106045.6328125,340.4700012207031
2025-06-25,107361.2578125,327.54998779296875
2025-06-26,106960.0,325.7799987792969
2025-06-27,107088.4296875,323.6300048828125
2025-06-28,107327.703125,
2025-06-29,108385.5703125,
2025-06-30,107135.3359375,317.6600036621094
2025-07-01,105698.28125,300.7099914550781
2025-07-02,108859.3203125,315.6499938964844
2025-07-03,109647.9765625,315.3500061035156
2025-07-04,108034.3359375,
2025-07-05,108231.1796875,
2025-07-06,109232.0703125,
2025-07-07,108299.8515625,293.94000244140625
2025-07-08,108950.2734375,297.80999755859375
2025-07-09,111326.5546875,295.8800048828125
2025-07-10,115987.203125,309.8699951171875
2025-07-11,117516.9921875,313.510009765625
2025-07-12,117435.2265625,
2025-07-13,119116.1171875,
2025-07-14,119849.703125,316.8999938964844
2025-07-15,117777.1875,310.7799987792969
2025-07-16,118738.5078125,321.6700134277344
2025-07-17,119289.84375,319.4100036621094
2025-07-18,118003.2265625,329.6499938964844
2025-07-19,117939.9765625,
2025-07-20,117300.7890625,
2025-07-21,117439.5390625,328.489990234375
2025-07-22,119995.4140625,332.1099853515625
2025-07-23,118754.9609375,332.55999755859375
2025-07-24,118368.0,305.29998779296875
2025-07-25,117635.8828125,316.05999755859375
2025-07-26,117947.3671875,
2025-07-27,119448.4921875,
2025-07-28,117924.4765625,325.5899963378906
2025-07-29,117922.1484375,321.20001220703125
2025-07-30,117831.1875,319.0400085449219
2025-07-31,115758.203125,308.2699890136719
2025-08-01,113320.0859375,302.6300048828125
2025-08-02,112526.9140625,
2025-08-03,114217.671875,
2025-08-04,115071.8828125,309.260009765625
2025-08-05,114141.4453125,308.7200012207031
2025-08-06,115028.0,319.9100036621094
2025-08-07,117496.8984375,322.2699890136719
2025-08-08,116688.7265625,329.6499938964844
2025-08-09,116500.359375,
2025-08-10,119306.7578125,
2025-08-11,118731.4453125,339.0299987792969
2025-08-12,120172.90625,340.8399963378906
2025-08-13,123344.0625,339.3800048828125
2025-08-14,118359.578125,335.5799865722656
2025-08-15,117398.3515625,330.55999755859375
2025-08-16,117491.3515625,
2025-08-17,117453.0625,
2025-08-18,116252.3125,335.1600036621094
2025-08-19,112831.1796875,329.30999755859375
2025-08-20,114274.7421875,323.8999938964844
2025-08-21,112419.03125,320.1099853515625
2025-08-22,116874.0859375,340.010009765625
2025-08-23,115374.328125,
2025-08-24,113458.4296875,
2025-08-25,110124.3515625,346.6000061035156
2025-08-26,111802.65625,351.6700134277344
2025-08-27,111222.0625,349.6000061035156
2025-08-28,112544.8046875,345.9800109863281
2025-08-29,108410.8359375,333.8699951171875
2025-08-30,108808.0703125,
2025-08-31,108236.7109375,
2025-09-01,109250.59375,
2025-09-02,111200.5859375,329.3599853515625
2025-09-03,111723.2109375,334.0899963378906
2025-09-04,110723.6015625,338.5299987792969
2025-09-05,110650.984375,350.8399963378906
2025-09-06,110224.6953125,
2025-09-07,111167.6171875,
2025-09-08,112071.4296875,346.3999938964844
2025-09-09,111530.546875,346.9700012207031
2025-09-10,113955.359375,347.7900085449219
2025-09-11,115507.5390625,368.80999755859375
2025-09-12,116101.578125,395.94000244140625
2025-09-13,115950.5078125,
2025-09-14,115407.65625,
2025-09-15,115444.875,410.0400085449219
2025-09-16,116843.1875,421.6199951171875
2025-09-17,116468.5078125,425.8599853515625
2025-09-18,117137.203125,416.8500061035156
2025-09-19,115688.859375,426.07000732421875
2025-09-20,115721.9609375,
2025-09-21,115306.09375,
2025-09-22,112748.5078125,434.2099914550781
2025-09-23,112014.5,425.8500061035156
2025-09-24,113328.6328125,442.7900085449219
2025-09-25,109049.2890625,423.3900146484375
2025-09-26,109712.828125,440.3999938964844
2025-09-27,109681.9453125,
2025-09-28,112122.640625,
2025-09-29,114400.3828125,443.2099914550781
2025-09-30,114056.0859375,444.7200012207031
2025-10-01,118648.9296875,459.4599914550781
2025-10-02,120681.2578125,436.0
2025-10-03,122266.53125,429.8299865722656
2025-10-04,122425.4296875,
2025-10-05,123513.4765625,
2025-10-06,124752.53125,453.25
2025-10-07,121451.3828125,433.0899963378906
2025-10-08,123354.8671875,438.69000244140625
2025-10-09,121705.5859375,435.5400085449219
2025-10-10,113214.3671875,413.489990234375
2025-10-11,110807.8828125,
2025-10-12,115169.765625,
2025-10-13,115271.078125,435.8999938964844
2025-10-14,113118.6640625,429.239990234375
2025-10-15,110783.1640625,435.1499938964844
2025-10-16,108186.0390625,428.75
2025-10-17,106467.7890625,439.30999755859375
2025-10-18,107198.265625,
2025-10-19,108666.7109375,
2025-10-20,110588.9296875,447.42999267578125
2025-10-21,108476.890625,442.6000061035156
2025-10-22,107688.5859375,438.9700012207031
2025-10-23,110069.7265625,448.9800109863281
2025-10-24,111033.921875,433.7200012207031
2025-10-25,111641.7265625,
2025-10-26,114472.4453125,
2025-10-27,114119.328125,452.4200134277344
2025-10-28,112956.1640625,460.54998779296875
2025-10-29,110055.3046875,461.510009765625
2025-10-30,108305.546875,440.1000061035156
2025-10-31,109556.1640625,456.55999755859375
2025-11-01,110064.015625,
2025-11-02,110639.625,
2025-11-03,106547.5234375,468.3699951171875
2025-11-04,101590.5234375,444.260009765625
2025-11-05,103891.8359375,462.07000732421875
2025-11-06,101301.2890625,445.9100036621094
2025-11-07,103372.40625,429.5199890136719
2025-11-08,102282.1171875,
2025-11-09,104719.640625,
2025-11-10,105996.59375,445.2300109863281
2025-11-11,102997.46875,439.6199951171875
2025-11-12,101663.1875,430.6000061035156
2025-11-13,99697.4921875,401.989990234375
2025-11-14,94397.7890625,404.3500061035156
2025-11-15,95549.1484375,
2025-11-16,94177.078125,
2025-11-17,92093.875,408.9200134277344
2025-11-18,92948.875,401.25
2025-11-19,91465.9921875,403.989990234375
2025-11-20,86631.8984375,395.2300109863281
2025-11-21,85090.6875,391.0899963378906
2025-11-22,84648.359375,
2025-11-23,86805.0078125,
2025-11-24,88270.5625,417.7799987792969
2025-11-25,87341.890625,419.3999938964844
2025-11-26,90518.3671875,426.5799865722656
2025-11-27,91285.375,
2025-11-28,90919.265625,430.1700134277344
2025-11-29,90851.7578125,
2025-11-30,90394.3125,
2025-12-01,86321.5703125,430.1400146484375
2025-12-02,91350.203125,429.239990234375
2025-12-03,93527.8046875,446.739990234375
2025-12-04,92141.625,454.5299987792969
2025-12-05,89387.7578125,455.0
2025-12-06,89272.375,
2025-12-07,90405.640625,
2025-12-08,90640.203125,439.5799865722656
2025-12-09,92691.7109375,445.1700134277344
2025-12-10,92020.9453125,451.45001220703125
2025-12-11,92511.3359375,446.8900146484375
2025-12-12,90270.4140625,458.9599914550781
2025-12-13,90298.7109375,
2025-12-14,88175.1796875,
2025-12-15,86419.78125,475.30999755859375
2025-12-16,87843.984375,489.8800048828125
2025-12-17,86143.7578125,467.260009765625
2025-12-18,85462.5078125,483.3699951171875
2025-12-19,88103.3828125,481.20001220703125
2025-12-20,88344.0,
2025-12-21,88621.75,
2025-12-22,88490.015625,488.7300109863281
2025-12-23,87414.0,485.55999755859375
2025-12-24,87611.9609375,485.3999938964844
2025-12-25,87234.7421875,
2025-12-26,87301.4296875,475.19000244140625
2025-12-27,87802.15625,
2025-12-28,87835.8359375,
2025-12-29,87138.140625,459.6400146484375
2025-12-30,88430.1328125,454.42999267578125
2025-12-31,87508.828125,449.7200012207031
2026-01-01,88731.984375,
2026-01-02,89944.6953125,438.07000732421875
2026-01-03,90603.1875,
2026-01-04,91413.4921875,
2026-01-05,93882.5546875,451.6700134277344
2026-01-06,93729.03125,432.9599914550781
2026-01-07,91308.0546875,431.4100036621094
2026-01-08,91027.125,435.79998779296875
2026-01-09,90513.1015625,445.010009765625
2026-01-10,90386.6484375,
2026-01-11,90827.4609375,
2026-01-12,91192.9921875,448.9599914550781
2026-01-13,95321.78125,447.20001220703125
2026-01-14,96929.328125,439.20001220703125
2026-01-15,95551.1875,438.57000732421875
2026-01-16,95525.1171875,437.5
2026-01-17,95099.921875,
2026-01-18,93634.4296875,
2026-01-19,92553.59375,
2026-01-20,88310.90625,419.25
2026-01-21,89376.9609375,431.44000244140625
2026-01-22,89462.453125,449.3599853515625
2026-01-23,89503.875,449.05999755859375
2026-01-24,89110.734375,
2026-01-25,86572.21875,
2026-01-26,88267.140625,435.20001220703125
2026-01-27,89102.5703125,430.8999938964844
2026-01-28,89184.5703125,431.4599914550781
2026-01-29,84561.5859375,416.55999755859375
2026-01-30,84128.65625,430.4100036621094
2026-01-31,78621.1171875,
2026-02-01,76974.4453125,
2026-02-02,78688.765625,421.80999755859375
2026-02-03,75633.546875,421.9599914550781
2026-02-04,73019.703125,406.010009765625
2026-02-05,62702.09765625,397.2099914550781
2026-02-06,70555.390625,411.1099853515625
2026-02-07,69281.96875,
2026-02-08,70264.7265625,
2026-02-09,70120.78125,417.32000732421875
2026-02-10,68793.9609375,425.2099914550781
2026-02-11,66991.96875,428.2699890136719
2026-02-12,66221.84375,417.07000732421875
2026-02-13,68857.84375,417.44000244140625
2026-02-14,69767.625,
2026-02-15,68788.1875,
2026-02-16,68843.15625,
2026-02-17,67494.21875,410.6300048828125
2026-02-18,66425.3203125,411.32000732421875
2026-02-19,66957.5234375,411.7099914550781
2026-02-20,67019.421875,407.7149963378906
